title,type,arr,posts,price,lat,lng,isFake
reinvent revolutionary systems Paris 9,INDEPENDENT_SPACE,9,5,700,48.882542,2.332845,false
synthesize leading-edge users Paris 16,OPEN_SPACE,16,12,650,48.864622,2.281359,false
incentivize user-centric platforms Paris 11,OPEN_SPACE,11,18,800,48.867173,2.377845,false
integrate virtual e-commerce Paris 10,INDEPENDENT_SPACE,10,1,600,48.878298,2.354822,true
harness seamless users Paris 19,OPEN_SPACE,19,33,950,48.885296,2.387432,false
deploy one-to-one channels Paris 9,PRIVATE_OFFICE,9,3,800,48.875693,2.337084,false
gamify collaborative networks Paris 13,PRIVATE_OFFICE,13,9,1650,48.835253,2.354308,false
incubate open-source deliverables Paris 3,OPEN_SPACE,3,25,850,48.866389,2.362309,false
empower robust networks Paris 12,PRIVATE_OFFICE,12,7,1600,48.841671,2.398232,false
generate real-time AI Paris 16,INDEPENDENT_SPACE,16,3,700,48.864121,2.276906,true
engage enterprise supply-chains Paris 13,INDEPENDENT_SPACE,13,1,600,48.829864,2.355615,true
revolutionize sustainable AI Paris 9,OPEN_SPACE,9,13,800,48.878508,2.336718,false
repurpose synergistic blockchains Paris 12,INDEPENDENT_SPACE,12,1,550,48.839122,2.393722,true
streamline cross-media interfaces Paris 3,PRIVATE_OFFICE,3,1,1700,48.869434,2.358358,false
embrace smart partnerships Paris 8,PRIVATE_OFFICE,8,5,1950,48.875018,2.290590,true
brand sticky architectures Paris 1,OPEN_SPACE,1,45,750,48.856644,2.352312,true
strategize cross-media web services Paris 11,OPEN_SPACE,11,44,800,48.863202,2.377681,true
implement rich infrastructures Paris 14,INDEPENDENT_SPACE,14,5,800,48.836030,2.324168,true
simplify virtual channels Paris 15,PRIVATE_OFFICE,15,6,1500,48.842209,2.301394,false
aggregate next-generation methodologies Paris 20,INDEPENDENT_SPACE,20,1,700,48.864219,2.395175,false
monetize cross-platform web services Paris 14,OPEN_SPACE,14,19,800,48.829033,2.324434,true
revolutionize frictionless synergies Paris 7,PRIVATE_OFFICE,7,3,1250,48.857403,2.318291,true
generate plug-and-play synergies Paris 7,PRIVATE_OFFICE,7,8,1850,48.855168,2.314102,false
utilize back-end applications Paris 6,INDEPENDENT_SPACE,6,3,800,48.856746,2.336306,false
monetize granular relationships Paris 1,OPEN_SPACE,1,40,500,48.858678,2.355776,false
iterate compelling architectures Paris 4,PRIVATE_OFFICE,4,1,1600,48.860020,2.352143,false
drive turn-key partnerships Paris 1,PRIVATE_OFFICE,1,3,950,48.851784,2.352306,false
incubate end-to-end users Paris 11,OPEN_SPACE,11,34,1150,48.867507,2.378584,false
brand compelling convergence Paris 13,INDEPENDENT_SPACE,13,3,450,48.830353,2.359307,false
whiteboard next-generation experiences Paris 11,INDEPENDENT_SPACE,11,2,550,48.863646,2.374193,false
enable granular smart contracts Paris 20,INDEPENDENT_SPACE,20,1,550,48.868504,2.401335,false
synthesize cross-media infrastructures Paris 3,INDEPENDENT_SPACE,3,4,450,48.869332,2.362878,false
embrace turn-key schemas Paris 4,OPEN_SPACE,4,28,750,48.852845,2.355890,false
optimize back-end supply-chains Paris 12,INDEPENDENT_SPACE,12,5,650,48.838628,2.399775,false
productize 24/7 platforms Paris 17,OPEN_SPACE,17,24,900,48.879622,2.319231,false
drive dynamic architectures Paris 18,INDEPENDENT_SPACE,18,4,750,48.892563,2.347321,false
mesh out-of-the-box systems Paris 4,INDEPENDENT_SPACE,4,4,950,48.857395,2.353145,true
aggregate intuitive relationships Paris 13,INDEPENDENT_SPACE,13,5,950,48.834025,2.351454,true
productize revolutionary relationships Paris 9,PRIVATE_OFFICE,9,3,950,48.875626,2.339094,false
orchestrate sustainable partnerships Paris 4,OPEN_SPACE,4,43,850,48.853895,2.347332,false
visualize open-source content Paris 1,OPEN_SPACE,1,10,550,48.858114,2.353878,false
utilize impactful large language models Paris 4,INDEPENDENT_SPACE,4,3,750,48.853498,2.354106,false
engineer cross-media experiences Paris 20,INDEPENDENT_SPACE,20,1,650,48.867387,2.394695,false
integrate real-time initiatives Paris 17,OPEN_SPACE,17,39,1000,48.881788,2.323732,false
exploit magnetic systems Paris 19,PRIVATE_OFFICE,19,8,1900,48.875898,2.380391,false
productize impactful methodologies Paris 10,OPEN_SPACE,10,15,600,48.875381,2.363439,false
iterate strategic systems Paris 14,INDEPENDENT_SPACE,14,5,800,48.828661,2.327540,false
collaborate open-source ROI Paris 9,INDEPENDENT_SPACE,9,3,700,48.875992,2.341232,true
streamline impactful synergies Paris 12,PRIVATE_OFFICE,12,5,1300,48.839519,2.400465,false
unleash end-to-end metrics Paris 20,OPEN_SPACE,20,25,1050,48.864222,2.401695,false
grow cross-platform technologies Paris 4,OPEN_SPACE,4,43,550,48.858515,2.350377,false
enable best-of-breed web services Paris 19,OPEN_SPACE,19,16,650,48.877480,2.383476,false
collaborate leading-edge web services Paris 8,INDEPENDENT_SPACE,8,2,400,48.874332,2.296015,false
collaborate scalable large language models Paris 15,INDEPENDENT_SPACE,15,5,500,48.841100,2.297397,false
embrace B2C architectures Paris 10,INDEPENDENT_SPACE,10,5,400,48.878594,2.358378,false
incubate proactive networks Paris 4,PRIVATE_OFFICE,4,9,1150,48.852200,2.354334,false
maximize viral architectures Paris 17,INDEPENDENT_SPACE,17,1,1000,48.885795,2.320964,true
transition compelling AI Paris 16,PRIVATE_OFFICE,16,3,1500,48.864123,2.279721,false
cultivate robust communities Paris 14,PRIVATE_OFFICE,14,9,1650,48.830372,2.326891,false
incentivize intuitive synergies Paris 11,INDEPENDENT_SPACE,11,4,500,48.865116,2.383465,false
generate B2B users Paris 10,INDEPENDENT_SPACE,10,1,950,48.878819,2.362334,false
synthesize customized schemas Paris 12,INDEPENDENT_SPACE,12,5,650,48.836955,2.391907,false
integrate ubiquitous niches Paris 12,INDEPENDENT_SPACE,12,5,400,48.837346,2.393570,false
revolutionize open-source large language models Paris 10,PRIVATE_OFFICE,10,3,1800,48.878945,2.364540,true
mesh killer deliverables Paris 20,INDEPENDENT_SPACE,20,5,550,48.863786,2.401926,false
empower efficient convergence Paris 10,OPEN_SPACE,10,16,1050,48.872009,2.355575,false
utilize customized metrics Paris 9,PRIVATE_OFFICE,9,8,950,48.877763,2.340686,false
brand seamless paradigms Paris 9,INDEPENDENT_SPACE,9,5,800,48.878954,2.340438,false
whiteboard extensible e-commerce Paris 2,OPEN_SPACE,2,27,1200,48.867305,2.337439,false
iterate cross-platform experiences Paris 10,PRIVATE_OFFICE,10,3,1200,48.872529,2.359775,false
collaborate cross-platform partnerships Paris 12,INDEPENDENT_SPACE,12,4,800,48.841209,2.390504,true
orchestrate revolutionary technologies Paris 17,OPEN_SPACE,17,21,850,48.879681,2.319149,true
transition best-of-breed schemas Paris 3,PRIVATE_OFFICE,3,7,1300,48.869068,2.360275,true
deploy magnetic lifetime value Paris 7,PRIVATE_OFFICE,7,5,1300,48.853525,2.314666,false
orchestrate compelling mindshare Paris 18,INDEPENDENT_SPACE,18,2,800,48.891120,2.347929,false
grow cross-platform niches Paris 8,PRIVATE_OFFICE,8,10,1000,48.872615,2.299156,false
evolve distributed initiatives Paris 17,OPEN_SPACE,17,30,500,48.882078,2.318682,true
repurpose granular smart contracts Paris 12,OPEN_SPACE,12,34,700,48.840801,2.396851,false
scale sticky applications Paris 3,PRIVATE_OFFICE,3,5,1400,48.867100,2.358770,false
engage enterprise lifetime value Paris 15,INDEPENDENT_SPACE,15,3,800,48.844299,2.295040,false
engage immersive deliverables Paris 8,INDEPENDENT_SPACE,8,1,450,48.878510,2.295854,false
integrate viral interfaces Paris 1,PRIVATE_OFFICE,1,5,2000,48.852116,2.347593,false
whiteboard robust deliverables Paris 19,INDEPENDENT_SPACE,19,4,450,48.878854,2.382176,false
orchestrate customized architectures Paris 14,INDEPENDENT_SPACE,14,5,950,48.837393,2.323408,false
embrace world-class large language models Paris 18,OPEN_SPACE,18,23,550,48.890127,2.340093,false
simplify strategic mindshare Paris 4,PRIVATE_OFFICE,4,1,1750,48.856193,2.356569,false
simplify impactful experiences Paris 7,INDEPENDENT_SPACE,7,5,850,48.861512,2.316359,true
strategize B2C interfaces Paris 18,INDEPENDENT_SPACE,18,3,900,48.896531,2.346878,false
redefine global architectures Paris 8,OPEN_SPACE,8,37,600,48.872817,2.290841,false
whiteboard best-of-breed mindshare Paris 20,PRIVATE_OFFICE,20,6,800,48.859887,2.394937,false
facilitate magnetic users Paris 13,OPEN_SPACE,13,33,700,48.829580,2.357811,false
reinvent front-end synergies Paris 14,OPEN_SPACE,14,12,800,48.828111,2.323543,false
maximize plug-and-play relationships Paris 1,INDEPENDENT_SPACE,1,2,450,48.861316,2.347544,false
brand B2B channels Paris 13,OPEN_SPACE,13,40,1050,48.834181,2.353113,false
expedite compelling markets Paris 5,OPEN_SPACE,5,14,750,48.841815,2.343945,false
mesh compelling ROI Paris 7,INDEPENDENT_SPACE,7,5,1000,48.858358,2.320161,false
target revolutionary convergence Paris 1,PRIVATE_OFFICE,1,4,1300,48.851656,2.348561,false
revolutionize holistic systems Paris 8,PRIVATE_OFFICE,8,1,1850,48.876997,2.295002,false
benchmark decentralized interfaces Paris 12,INDEPENDENT_SPACE,12,5,400,48.841187,2.395258,false
transform next-generation metrics Paris 6,INDEPENDENT_SPACE,6,1,550,48.848666,2.329651,false
whiteboard B2B functionalities Paris 18,INDEPENDENT_SPACE,18,5,400,48.895175,2.348808,false
brand customized experiences Paris 3,PRIVATE_OFFICE,3,1,2000,48.864254,2.361172,false
synthesize B2C channels Paris 12,INDEPENDENT_SPACE,12,4,450,48.843546,2.392191,true
iterate open-source content Paris 16,OPEN_SPACE,16,42,700,48.866886,2.281736,false
empower sustainable platforms Paris 17,INDEPENDENT_SPACE,17,2,600,48.882476,2.326395,false
utilize extensible supply-chains Paris 20,OPEN_SPACE,20,28,750,48.867118,2.402051,false
unleash extensible platforms Paris 16,PRIVATE_OFFICE,16,7,1250,48.862556,2.281583,false
transform B2B content Paris 3,PRIVATE_OFFICE,3,1,1800,48.869662,2.361379,false
mesh vertical large language models Paris 2,OPEN_SPACE,2,18,900,48.866979,2.338832,false
utilize quantum content Paris 15,OPEN_SPACE,15,41,950,48.841676,2.300240,false
enhance immersive applications Paris 9,OPEN_SPACE,9,32,550,48.884173,2.333253,false
cultivate strategic architectures Paris 1,PRIVATE_OFFICE,1,8,1200,48.859980,2.349987,false
maximize one-to-one users Paris 4,INDEPENDENT_SPACE,4,3,800,48.856074,2.350063,true
enhance customized e-commerce Paris 5,PRIVATE_OFFICE,5,4,1100,48.850320,2.347144,false
transform open-source large language models Paris 7,OPEN_SPACE,7,26,950,48.860829,2.317571,true
brand extensible platforms Paris 5,INDEPENDENT_SPACE,5,5,900,48.846326,2.344134,false
redefine seamless methodologies Paris 15,OPEN_SPACE,15,47,700,48.839262,2.299653,false
engineer real-time systems Paris 12,OPEN_SPACE,12,46,900,48.838761,2.399221,false
revolutionize enterprise lifetime value Paris 3,PRIVATE_OFFICE,3,2,1000,48.865243,2.360409,false
cultivate virtual functionalities Paris 19,OPEN_SPACE,19,23,950,48.878520,2.387355,false
deploy efficient synergies Paris 5,OPEN_SPACE,5,35,600,48.842337,2.340662,false
empower compelling relationships Paris 20,OPEN_SPACE,20,49,700,48.860269,2.401177,false
whiteboard quantum systems Paris 2,PRIVATE_OFFICE,2,3,1900,48.865059,2.346183,false
visualize cross-platform solutions Paris 11,INDEPENDENT_SPACE,11,1,750,48.862133,2.380149,false
iterate cutting-edge technologies Paris 9,PRIVATE_OFFICE,9,7,850,48.877538,2.338032,true
implement revolutionary users Paris 11,OPEN_SPACE,11,42,1050,48.865354,2.382619,true
productize user-centric systems Paris 18,INDEPENDENT_SPACE,18,1,650,48.896468,2.347937,false
seize mission-critical smart contracts Paris 3,OPEN_SPACE,3,20,1100,48.859984,2.360646,false
transform frictionless markets Paris 5,INDEPENDENT_SPACE,5,4,500,48.850306,2.342854,true
collaborate out-of-the-box schemas Paris 14,INDEPENDENT_SPACE,14,4,900,48.837988,2.326736,false
cultivate magnetic technologies Paris 11,PRIVATE_OFFICE,11,8,2000,48.867719,2.376112,false
benchmark B2B AI Paris 9,INDEPENDENT_SPACE,9,1,450,48.882884,2.335441,false
evolve impactful lifetime value Paris 3,PRIVATE_OFFICE,3,4,1400,48.869450,2.366196,false
evolve out-of-the-box architectures Paris 2,INDEPENDENT_SPACE,2,1,550,48.868987,2.344931,false
leverage user-centric lifetime value Paris 14,OPEN_SPACE,14,34,1150,48.834417,2.326249,false
engage global ROI Paris 10,PRIVATE_OFFICE,10,10,1800,48.874413,2.360511,false
expedite smart content Paris 15,PRIVATE_OFFICE,15,1,1250,48.846022,2.294168,false
drive transparent architectures Paris 15,OPEN_SPACE,15,16,1150,48.842351,2.298270,false
visualize end-to-end convergence Paris 6,INDEPENDENT_SPACE,6,2,600,48.848456,2.334523,false
deliver end-to-end convergence Paris 10,PRIVATE_OFFICE,10,5,900,48.878223,2.358672,true
incubate next-generation schemas Paris 13,INDEPENDENT_SPACE,13,1,900,48.829626,2.352383,false
brand out-of-the-box solutions Paris 12,PRIVATE_OFFICE,12,3,1050,48.840301,2.397729,true
iterate turn-key content Paris 6,OPEN_SPACE,6,26,1200,48.850091,2.336891,true
generate best-of-breed e-commerce Paris 12,OPEN_SPACE,12,16,900,48.836182,2.393570,false
strategize transparent content Paris 16,OPEN_SPACE,16,20,600,48.862992,2.274415,true
productize strategic architectures Paris 6,INDEPENDENT_SPACE,6,4,900,48.856542,2.335334,false
incentivize bleeding-edge convergence Paris 16,PRIVATE_OFFICE,16,5,1150,48.862491,2.274102,false
syndicate visionary e-commerce Paris 2,PRIVATE_OFFICE,2,7,1400,48.863292,2.340588,false
facilitate collaborative channels Paris 4,OPEN_SPACE,4,25,850,48.861459,2.348239,true
target one-to-one infrastructures Paris 12,PRIVATE_OFFICE,12,1,1100,48.835738,2.398513,false
enable cutting-edge relationships Paris 18,PRIVATE_OFFICE,18,3,1450,48.894616,2.340953,true
iterate frictionless architectures Paris 19,INDEPENDENT_SPACE,19,3,950,48.885299,2.383568,false
revolutionize AI-driven users Paris 6,PRIVATE_OFFICE,6,7,900,48.852989,2.335187,false
syndicate transparent architectures Paris 16,PRIVATE_OFFICE,16,8,1500,48.862240,2.272103,false
monetize quantum channels Paris 11,PRIVATE_OFFICE,11,10,1100,48.862300,2.381763,false
generate ubiquitous content Paris 7,INDEPENDENT_SPACE,7,5,500,48.861130,2.323078,false
benchmark bleeding-edge networks Paris 8,OPEN_SPACE,8,24,1200,48.871237,2.295128,false
incentivize efficient ROI Paris 4,PRIVATE_OFFICE,4,9,800,48.854803,2.351426,false
collaborate AI-driven platforms Paris 11,OPEN_SPACE,11,19,800,48.860907,2.377108,false
embrace leading-edge ROI Paris 18,PRIVATE_OFFICE,18,1,1100,48.895914,2.344659,false
benchmark smart synergies Paris 15,PRIVATE_OFFICE,15,5,1350,48.841953,2.293622,false
cultivate enterprise networks Paris 18,PRIVATE_OFFICE,18,1,1100,48.889405,2.342206,false
extend viral methodologies Paris 15,OPEN_SPACE,15,21,1150,48.846142,2.292891,true
evolve intuitive models Paris 4,INDEPENDENT_SPACE,4,2,1000,48.855028,2.355495,false
seize killer e-commerce Paris 18,PRIVATE_OFFICE,18,3,1950,48.895484,2.346862,true
expedite innovative synergies Paris 20,PRIVATE_OFFICE,20,9,1700,48.867910,2.400155,false
deploy scalable communities Paris 18,INDEPENDENT_SPACE,18,5,900,48.895194,2.339449,false
visualize B2C convergence Paris 7,OPEN_SPACE,7,45,550,48.858894,2.321328,false
mesh back-end blockchains Paris 16,INDEPENDENT_SPACE,16,5,550,48.866802,2.274844,false
whiteboard plug-and-play technologies Paris 1,OPEN_SPACE,1,10,700,48.856833,2.350632,false
engage leading-edge mindshare Paris 13,PRIVATE_OFFICE,13,9,1650,48.827924,2.352581,false
engineer viral lifetime value Paris 7,INDEPENDENT_SPACE,7,4,850,48.860673,2.322464,false
facilitate extensible blockchains Paris 13,OPEN_SPACE,13,40,1050,48.834824,2.351371,false
harness customized smart contracts Paris 10,OPEN_SPACE,10,18,1050,48.880786,2.359260,false
brand B2C partnerships Paris 8,INDEPENDENT_SPACE,8,4,700,48.868944,2.293995,true
strategize scalable technologies Paris 7,PRIVATE_OFFICE,7,7,1000,48.860393,2.314273,false
deploy seamless AI Paris 15,OPEN_SPACE,15,50,1100,48.844904,2.293794,false
engage bleeding-edge solutions Paris 5,INDEPENDENT_SPACE,5,2,750,48.849703,2.339300,false
deliver dynamic technologies Paris 10,OPEN_SPACE,10,21,700,48.876848,2.361388,false
productize holistic ROI Paris 5,PRIVATE_OFFICE,5,1,1450,48.842507,2.339938,false
cultivate intuitive large language models Paris 4,PRIVATE_OFFICE,4,10,1600,48.855633,2.349468,false
benchmark cross-media networks Paris 12,OPEN_SPACE,12,48,750,48.836765,2.394011,false
reinvent virtual systems Paris 4,PRIVATE_OFFICE,4,9,1800,48.858852,2.347745,false
expedite extensible supply-chains Paris 8,PRIVATE_OFFICE,8,6,1550,48.873909,2.290175,true
evolve AI-driven communities Paris 9,OPEN_SPACE,9,36,600,48.884482,2.337348,true
unleash impactful infrastructures Paris 7,PRIVATE_OFFICE,7,2,1250,48.856768,2.315259,true
incentivize smart mindshare Paris 18,PRIVATE_OFFICE,18,4,1850,48.897142,2.346705,false
disintermediate generative ROI Paris 19,OPEN_SPACE,19,38,1000,48.880826,2.379025,false
collaborate scalable web services Paris 17,PRIVATE_OFFICE,17,8,1000,48.881412,2.319237,true
maximize quantum web services Paris 12,OPEN_SPACE,12,26,750,48.837111,2.399339,false
transition scalable synergies Paris 20,INDEPENDENT_SPACE,20,3,650,48.867376,2.398297,false
enhance integrated infrastructures Paris 20,INDEPENDENT_SPACE,20,3,850,48.861504,2.394179,false
engage impactful e-commerce Paris 9,PRIVATE_OFFICE,9,6,800,48.875564,2.338280,false
monetize sustainable e-commerce Paris 1,PRIVATE_OFFICE,1,6,1650,48.854810,2.354101,false
redefine impactful communities Paris 1,PRIVATE_OFFICE,1,3,1150,48.855156,2.348176,false
orchestrate viral initiatives Paris 20,PRIVATE_OFFICE,20,7,1150,48.867683,2.401274,true
iterate revolutionary metrics Paris 2,OPEN_SPACE,2,15,500,48.872056,2.344674,false
harness front-end users Paris 14,INDEPENDENT_SPACE,14,3,1000,48.833887,2.330326,false
grow plug-and-play metrics Paris 13,OPEN_SPACE,13,34,500,48.828542,2.351362,false
collaborate AI-driven systems Paris 17,OPEN_SPACE,17,45,1050,48.881529,2.322965,false
monetize out-of-the-box ROI Paris 11,OPEN_SPACE,11,14,1150,48.866604,2.381586,false
monetize cutting-edge relationships Paris 11,PRIVATE_OFFICE,11,9,1050,48.864990,2.378993,false
redefine revolutionary metrics Paris 15,OPEN_SPACE,15,33,1200,48.841044,2.294115,false
whiteboard extensible initiatives Paris 6,PRIVATE_OFFICE,6,9,1600,48.850291,2.337386,false
cultivate one-to-one systems Paris 16,PRIVATE_OFFICE,16,8,1850,48.863012,2.272203,false
deploy cutting-edge networks Paris 2,INDEPENDENT_SPACE,2,4,800,48.864993,2.338692,false
collaborate granular AI Paris 4,PRIVATE_OFFICE,4,9,850,48.858316,2.351792,true
incubate front-end experiences Paris 2,PRIVATE_OFFICE,2,4,900,48.870763,2.339995,true
unleash virtual paradigms Paris 16,PRIVATE_OFFICE,16,2,1150,48.868342,2.272860,true
syndicate scalable functionalities Paris 12,PRIVATE_OFFICE,12,9,1450,48.837520,2.397438,false
orchestrate AI-driven methodologies Paris 13,INDEPENDENT_SPACE,13,5,400,48.830929,2.360116,false
visualize B2C e-commerce Paris 4,INDEPENDENT_SPACE,4,2,550,48.854330,2.356953,false
disintermediate holistic platforms Paris 4,PRIVATE_OFFICE,4,5,800,48.854427,2.352813,false
incentivize generative schemas Paris 13,INDEPENDENT_SPACE,13,3,550,48.829973,2.354524,false
engineer B2B users Paris 6,INDEPENDENT_SPACE,6,3,450,48.854567,2.332101,false
transition granular web services Paris 16,PRIVATE_OFFICE,16,6,1550,48.863484,2.274189,false
empower turn-key niches Paris 16,INDEPENDENT_SPACE,16,3,950,48.867041,2.276245,false
grow plug-and-play infrastructures Paris 15,INDEPENDENT_SPACE,15,2,700,48.837600,2.300819,false
engineer global ROI Paris 11,OPEN_SPACE,11,32,750,48.860916,2.377862,false
deliver innovative relationships Paris 5,OPEN_SPACE,5,21,600,48.850162,2.348694,false
leverage collaborative large language models Paris 5,INDEPENDENT_SPACE,5,2,650,48.845390,2.345311,true
revolutionize bleeding-edge platforms Paris 18,INDEPENDENT_SPACE,18,1,500,48.895626,2.341674,false
synthesize leading-edge infrastructures Paris 7,OPEN_SPACE,7,45,550,48.854969,2.313788,false
implement world-class schemas Paris 4,OPEN_SPACE,4,39,950,48.858633,2.356145,false
expedite AI-driven models Paris 2,OPEN_SPACE,2,46,500,48.872374,2.340999,false
synthesize real-time lifetime value Paris 7,INDEPENDENT_SPACE,7,5,950,48.858670,2.322558,true
gamify virtual mindshare Paris 16,PRIVATE_OFFICE,16,3,1100,48.859631,2.274167,false
cultivate smart smart contracts Paris 17,OPEN_SPACE,17,22,850,48.888409,2.322665,false
seize out-of-the-box channels Paris 2,INDEPENDENT_SPACE,2,4,800,48.868984,2.344101,false
aggregate out-of-the-box interfaces Paris 9,OPEN_SPACE,9,13,550,48.879383,2.342432,false
evolve impactful architectures Paris 14,INDEPENDENT_SPACE,14,2,400,48.835362,2.327912,false
integrate compelling experiences Paris 2,PRIVATE_OFFICE,2,2,800,48.870226,2.345160,false
benchmark compelling ROI Paris 6,PRIVATE_OFFICE,6,4,1850,48.855586,2.333798,false
expedite revolutionary communities Paris 12,OPEN_SPACE,12,21,500,48.844816,2.392932,false
redefine scalable lifetime value Paris 7,INDEPENDENT_SPACE,7,4,950,48.852846,2.318213,false
redefine vertical initiatives Paris 17,INDEPENDENT_SPACE,17,4,500,48.885109,2.325629,true
mesh end-to-end communities Paris 19,INDEPENDENT_SPACE,19,2,1000,48.877831,2.380742,false
reinvent quantum markets Paris 6,PRIVATE_OFFICE,6,3,1000,48.854911,2.334185,true
collaborate sticky infrastructures Paris 7,OPEN_SPACE,7,35,900,48.858723,2.318890,true
evolve scalable infrastructures Paris 1,INDEPENDENT_SPACE,1,3,800,48.860711,2.355981,false
visualize viral applications Paris 6,PRIVATE_OFFICE,6,5,1850,48.854262,2.333038,false
maximize transparent partnerships Paris 16,PRIVATE_OFFICE,16,6,1600,48.865505,2.278101,false
empower robust relationships Paris 9,PRIVATE_OFFICE,9,3,1550,48.880533,2.340779,true
incentivize revolutionary synergies Paris 10,INDEPENDENT_SPACE,10,5,700,48.877962,2.356733,false
benchmark sustainable AI Paris 3,INDEPENDENT_SPACE,3,4,900,48.865252,2.361028,false
simplify world-class models Paris 2,INDEPENDENT_SPACE,2,1,950,48.865813,2.341531,false
transition bleeding-edge supply-chains Paris 12,INDEPENDENT_SPACE,12,1,450,48.839828,2.399784,true
embrace robust initiatives Paris 3,PRIVATE_OFFICE,3,6,1000,48.862949,2.358189,false
aggregate bleeding-edge synergies Paris 8,PRIVATE_OFFICE,8,5,1550,48.870870,2.290326,false
optimize one-to-one systems Paris 8,PRIVATE_OFFICE,8,1,1550,48.873008,2.290615,false
engineer synergistic channels Paris 7,INDEPENDENT_SPACE,7,5,700,48.858028,2.315902,false
unleash seamless applications Paris 7,PRIVATE_OFFICE,7,8,1200,48.856003,2.320331,false
enable customized architectures Paris 15,INDEPENDENT_SPACE,15,1,400,48.844153,2.293252,false
